순위,종목코드,종목명,현재가,전일대비,,등락률,거래량,거래비중,시가총액,시가총액비,체결강도
200,'336260,두산퓨얼셀,"28,500",▼,"-650","-2.23%","606,749","0.07","1,866,571","0.05%",64.97
201,'237690,에스티팜,"89,100",▼,"-500","-0.56%","67,032","0.02","1,844,129","0.05%",51.99
202,'161890,한국콜마,"77,800",▼,"-1,500","-1.89%","198,620","0.06","1,836,475","0.05%",61.41
203,'122870,와이지엔터테인먼트,"97,900",▼,"-2,500","-2.49%","322,063","0.13","1,829,854","0.05%",77.40
204,'140860,파크시스템스,"259,000",▼,"-5,000","-1.89%","23,132","0.02","1,811,803","0.05%",51.27
205,'004170,신세계,"187,000",▼,"-2,400","-1.27%","31,616","0.02","1,803,649","0.05%",114.44
206,'039200,오스코텍,"46,950",▲,"4,000","+9.31%","807,578","0.15","1,796,081","0.05%",147.09
207,'112610,씨에스윈드,"42,050",▼,"-500","-1.18%","161,283","0.02","1,773,307","0.05%",50.98
208,'009420,한올바이오파마,"32,700",▼,"-100","-0.30%","383,437","0.05","1,708,269","0.05%",66.44
209,'017960,한국카본,"32,600",▲,"500","+1.56%","478,101","0.06","1,692,216","0.05%",131.80
210,'103590,일진전기,"35,300",▲,"750","+2.17%","528,650","0.07","1,683,294","0.05%",137.63
211,'010060,OCI홀딩스,"87,900",▼,"-1,100","-1.24%","103,461","0.03","1,653,831","0.05%",86.24
212,'023590,다우기술,"36,850",▼,"-500","-1.34%","40,610","","1,653,335","0.05%",58.94
213,'007310,오뚜기,"410,500", ,"0","0%","3,960","","1,645,214","0.05%",79.36
214,'095340,ISC,"77,200",▼,"-1,800","-2.28%","194,596","0.06","1,636,413","0.05%",70.18
215,'267270,HD현대건설기계,"92,900",▼,"-200","-0.21%","63,378","0.02","1,612,522","0.04%",100.82
216,'375500,DL이앤씨,"41,650",▲,"250","+0.60%","191,992","0.03","1,611,589","0.04%",91.77
217,'077970,STX엔진,"39,550",▲,"1,200","+3.13%","917,651","0.15","1,587,856","0.04%",149.39
218,'084370,유진테크,"69,100",▼,"-300","-0.43%","179,879","0.05","1,583,499","0.04%",120.00
219,'204320,HL만도,"33,650",▼,"-150","-0.44%","117,171","0.01","1,580,107","0.04%",65.62
220,'006360,GS건설,"18,410",▼,"-60","-0.32%","188,584","0.01","1,575,555","0.04%",63.56
221,'005850,에스엘,"33,800",▼,"-400","-1.17%","129,930","0.01","1,569,960","0.04%",81.05
222,'035760,CJ ENM,"71,100",▼,"-2,300","-3.13%","114,942","0.03","1,559,163","0.04%",57.13
223,'348370,엔켐,"71,200",▼,"-1,700","-2.33%","136,486","0.04","1,549,842","0.04%",45.13
224,'069620,대웅제약,"133,700",▼,"-1,700","-1.26%","39,697","0.02","1,549,125","0.04%",82.72
225,'065350,신성델타테크,"55,300",▼,"-200","-0.36%","134,356","0.03","1,519,862","0.04%",67.17
226,'006280,녹십자,"129,300",▼,"-1,500","-1.15%","64,189","0.03","1,511,069","0.04%",36.06
227,'100090,SK오션플랜트,"24,500",▲,"450","+1.87%","1,700,207","0.17","1,498,545","0.04%",113.11
228,'047040,대우건설,"3,590",▼,"-10","-0.28%","596,529","","1,492,085","0.04%",78.04
229,'083650,비에이치아이,"47,200",▲,"550","+1.18%","501,570","0.09","1,460,575","0.04%",100.20
230,'067310,하나마이크론,"22,000",▼,"-850","-3.72%","2,295,394","0.21","1,457,983","0.04%",60.22
231,'395400,SK리츠,"5,010",▼,"-50","-0.99%","203,041","","1,457,253","0.04%",73.61
232,'036930,주성엔지니어링,"30,700",▼,"-600","-1.92%","409,107","0.05","1,451,137","0.04%",54.41
233,'222800,심텍,"42,750",▲,"1,050","+2.52%","1,645,157","0.29","1,421,064","0.04%",91.99
234,'004800,효성,"84,800",▼,"-200","-0.24%","28,846","0.01","1,419,587","0.04%",127.03
235,'204270,제이앤티씨,"24,250",▲,"250","+1.04%","1,230,455","0.12","1,402,825","0.04%",84.73
236,'000155,두산우,"349,500",▲,"20,500","+6.23%","36,588","0.05","1,396,763","0.04%",238.84
237,'353200,대덕전자,"28,250",▲,"850","+3.10%","1,915,821","0.23","1,396,028","0.04%",131.63
238,'457190,이수스페셜티케미컬,"46,200",▼,"-550","-1.18%","278,594","0.05","1,395,623","0.04%",50.24
239,'007070,GS리테일,"16,690",▲,"140","+0.85%","137,368","","1,395,408","0.04%",149.84
240,'085620,미래에셋생명,"7,780",▼,"-30","-0.38%","91,310","","1,377,186","0.04%",122.25
241,'003530,한화투자증권,"6,370",▲,"170","+2.74%","23,566,589","0.62","1,366,669","0.04%",97.73
242,'073240,금호타이어,"4,735",▼,"-25","-0.53%","238,725","","1,360,177","0.04%",73.37
243,'253450,스튜디오드래곤,"45,100",▼,"-450","-0.99%","79,283","0.01","1,355,638","0.04%",54.84
244,'032350,롯데관광개발,"16,960",▼,"-510","-2.92%","971,775","0.06","1,348,990","0.04%",75.87
245,'003540,대신증권,"26,400",▼,"-450","-1.68%","169,206","0.01","1,340,418","0.04%",60.07
246,'000080,하이트진로,"19,060",▼,"-50","-0.26%","79,416","","1,336,747","0.04%",64.99
247,'294870,HDC현대산업개발,"20,250",▼,"-100","-0.49%","148,097","0.01","1,334,623","0.04%",52.92
248,'160190,하이젠알앤엠,"43,200",▼,"-50","-0.12%","679,728","0.12","1,334,362","0.04%",70.24
249,'007340,DN오토모티브,"22,800",▲,"100","+0.44%","68,033","","1,334,048","0.04%",70.50
250,'290650,엘앤씨바이오,"54,100",▼,"-1,400","-2.52%","1,543,335","0.35","1,331,880","0.04%",90.93
251,'300720,한일시멘트,"19,030",▼,"-160","-0.83%","56,938","","1,318,047","0.04%",44.74
252,'011210,현대위아,"48,450",▲,"200","+0.41%","72,605","0.01","1,317,602","0.04%",66.52
253,'00680K,미래에셋증권2우B,"9,520",▼,"-200","-2.06%","354,726","0.01","1,309,000","0.04%",97.57
254,'007390,네이처셀,"20,250",▲,"50","+0.25%","339,964","0.02","1,304,810","0.04%",88.61
255,'082640,동양생명,"8,050", ,"0","0%","124,824","","1,298,937","0.03%",89.42
256,'293490,카카오게임즈,"15,630",▼,"-230","-1.45%","164,384","0.01","1,295,202","0.03%",44.72
257,'096530,씨젠,"24,750",▼,"-150","-0.60%","123,574","0.01","1,292,593","0.03%",63.80
258,'001800,오리온홀딩스,"20,400",▲,"100","+0.49%","69,565","","1,277,967","0.03%",95.78
259,'003090,대웅,"21,950",▼,"-250","-1.13%","108,635","0.01","1,276,216","0.03%",41.49
260,'005070,코스모신소재,"38,750",▼,"-2,150","-5.26%","729,904","0.12","1,259,792","0.03%",43.81
261,'005440,현대지에프홀딩스,"8,060",▲,"100","+1.26%","256,427","","1,256,589","0.03%",66.22
262,'195940,HK이노엔,"44,250",▼,"-450","-1.01%","168,794","0.03","1,253,598","0.03%",87.47
263,'001120,LX인터내셔널,"31,800",▼,"-200","-0.63%","69,652","","1,232,568","0.03%",84.53
264,'075580,세진중공업,"21,600",▲,"1,000","+4.85%","3,248,080","0.29","1,227,948","0.03%",101.85
265,'137310,에스디바이오센서,"9,960",▼,"-40","-0.40%","96,832","","1,212,621","0.03%",59.25
266,'004000,롯데정밀화학,"46,650",▼,"-200","-0.43%","57,394","0.01","1,203,570","0.03%",71.10
267,'178320,서진시스템,"21,350",▼,"-500","-2.29%","169,582","0.01","1,200,894","0.03%",48.37
268,'036530,SNT홀딩스,"72,600",▼,"-1,300","-1.76%","24,136","","1,183,662","0.03%",100.46
269,'358570,지아이이노베이션,"18,560",▼,"-390","-2.06%","907,400","0.07","1,181,786","0.03%",57.14
270,'020150,롯데에너지머티리얼즈,"22,550",▼,"-150","-0.66%","60,191","","1,180,841","0.03%",40.82
271,'456160,지투지바이오,"218,500",▲,"10,500","+5.05%","1,935,748","1.90","1,172,404","0.03%",94.91
272,'213420,덕산네오룩스,"47,150",▲,"300","+0.64%","115,011","0.02","1,170,790","0.03%",103.41
273,'060370,LS마린솔루션,"22,300",▲,"50","+0.22%","100,387","","1,164,926","0.03%",56.17
274,'328130,루닛,"39,800",▼,"-450","-1.12%","180,299","0.03","1,162,343","0.03%",55.41
275,'229640,LS에코에너지,"37,600",▼,"-500","-1.31%","100,261","0.01","1,151,495","0.03%",33.13
