시장,종목코드,종목명,현재가,대비부호,전일대비,매수체결수량,매수체결금액,매도체결수량,매도체결금액,순매수금액,전체거래비중
KOSDAQ,148780,비큐AI,457,3,0,2,2,2,2,0,+0.00
KOSDAQ,478440,미래에셋비전스팩6호,2045,3,0,5,11,0,0,11,+0.00
KOSDAQ,418620,E8,712,3,0,62,635,25,255,380,+0.03
KOSDAQ,226340,본느,1679,3,0,118,162,18,24,138,+0.01
KOSDAQ,479880,한국제15호스팩,2045,3,0,1,2,0,1,1,+0.00
KOSDAQ,012340,뉴인텍,749,3,0,1,0,3,1,-1,+0.00
KOSDAQ,018700,졸스,1196,3,0,3,4,4,4,0,+0.00
KOSDAQ,389680,유디엠텍,1662,3,0,167,190,181,206,-16,+0.01
KOSDAQ,417180,핑거스토리,3920,3,0,46,102,8,19,83,+0.00
KOSDAQ,352770,셀레스트라,5250,3,0,183,108,104,63,45,+0.01
KOSDAQ,177350,베셀,681,3,0,931,195,295,64,131,+0.01
KOSDAQ,244460,올리패스,1651,3,0,5,22,2,11,11,+0.00
KOSDAQ,405000,플라즈맵,3485,3,0,74,103,76,107,-4,+0.01
KOSDAQ,481890,엔에이치스팩31호,2080,3,0,2,4,0,0,4,+0.00
KOSDAQ,060230,제이케이시냅스,1165,3,0,39,43,44,48,-5,+0.00
KOSDAQ,247660,나노씨엠에스,2995,3,0,8,54,2,14,40,+0.00
KOSDAQ,009730,이렘,1629,3,0,199,223,111,125,98,+0.01
KOSDAQ,289010,아이스크림에듀,919,3,0,5,12,1,3,9,+0.00
KOSDAQ,123840,뉴온,2000,3,0,382,72,416,81,-9,+0.01
KOSDAQ,478390,KB제29호스팩,2045,3,0,32,64,2,4,60,+0.00
KOSDAQ,471050,대신밸런스제17호스팩,2095,3,0,20,41,0,0,41,+0.00
KOSDAQ,054180,메디콕스,2295,3,0,223,81,144,52,29,+0.00
KOSDAQ,482520,교보16호스팩,2020,3,0,20,40,0,0,40,+0.00
KOSDAQ,011080,형지I&C,2865,3,0,253,149,274,163,-14,+0.01
KOSDAQ,065570,삼영이엔씨,764,3,0,56,111,32,64,47,+0.01
KOSDAQ,250930,예선테크,370,3,0,7,3,20,9,-6,+0.00
KOSDAQ,477760,DB금융스팩12호,2050,3,0,11,22,0,0,22,+0.00
KOSDAQ,092600,앤씨앤,2350,3,0,4,4,4,4,0,+0.00
KOSDAQ,469900,하나31호스팩,2080,3,0,6,12,0,0,12,+0.00
KOSDAQ,482690,대신밸런스제19호스팩,2060,3,0,50,100,0,0,100,+0.00
KOSDAQ,477470,미래에셋비전스팩5호,2090,3,0,8,17,0,1,16,+0.00
KOSDAQ,474660,신한제12호스팩,2055,3,0,1,3,0,0,3,+0.00
KOSDAQ,474490,유안타제16호스팩,2055,3,0,0,0,1,1,-1,+0.00
KOSDAQ,042040,케이피엠테크,4565,3,0,1,0,50,13,-13,+0.00
KOSDAQ,079950,인베니아,812,3,0,14,10,10,7,3,+0.00
KOSDAQ,079190,케스피온,571,3,0,12,7,7,4,3,+0.00
KOSDAQ,486630,KB제30호스팩,2030,3,0,32,65,0,1,64,+0.00
KOSDAQ,489210,교보17호스팩,2025,3,0,54,107,10,19,88,+0.00
KOSDAQ,043100,알파AI,520,3,0,10,21,0,1,20,+0.00
KOSDAQ,478110,이베스트스팩6호,2035,3,0,0,0,0,0,0,+0.00
KOSDAQ,208640,썸에이지,727,3,0,1294,461,927,338,123,+0.03
KOSDAQ,472220,신영스팩10호,2095,3,0,29,61,0,0,61,+0.00
KOSDAQ,084180,수성웹툰,539,3,0,84,44,64,34,10,+0.00
KOSDAQ,488060,유진스팩11호,2035,3,0,20,40,1,1,39,+0.00
KOSDAQ,106080,케이이엠텍,1650,3,0,111,512,177,811,-299,+0.05
KOSDAQ,484130,하나34호스팩,2030,3,0,28,57,0,0,57,+0.00
KOSDAQ,469480,IBKS제24호스팩,2130,3,0,1,1,0,0,1,+0.00
KOSDAQ,473950,에스케이증권제13호스팩,2030,3,0,0,0,0,0,0,+0.00
KOSDAQ,065420,에스아이리소스,125,3,0,35,8,135,30,-22,+0.00
KOSDAQ,467930,IBKS제23호스팩,2110,3,0,0,0,0,0,0,+0.00
KOSDAQ,050090,비케이홀딩스,379,3,0,2,1,5,3,-2,+0.00
KOSDAQ,465320,교보15호스팩,2335,3,0,4,8,0,1,7,+0.00
KOSDAQ,069920,엑시온그룹,949,3,0,429,452,436,471,-19,+0.03
KOSDAQ,468760,유진스팩10호,2080,3,0,21,44,0,1,43,+0.00
KOSDAQ,487830,신한제15호스팩,2020,3,0,20,40,0,0,40,+0.00
KOSDAQ,073190,듀오백,732,3,0,0,1,0,1,0,+0.00
KOSDAQ,472230,에스케이증권제11호스팩,2080,3,0,21,43,0,0,43,+0.00
KOSDAQ,225430,케이엠제약,1538,3,0,1,0,1,1,-1,+0.00
KOSDAQ,087260,모바일어플라이언스,249,3,0,52,118,31,70,48,+0.01
KOSDAQ,025870,신라에스지,1999,3,0,0,1,0,1,0,+0.00
KOSDAQ,199730,바이오인프라,1634,3,0,1,9,0,1,8,+0.00
KOSDAQ,312610,에이에프더블류,392,3,0,1,1,1,2,-1,+0.00
KOSDAQ,035290,골드앤에스,1641,3,0,5,2,2,1,1,+0.00
KOSDAQ,079970,투비소프트,596,3,0,306,340,302,342,-2,+0.02
KOSDAQ,475250,하나33호스팩,2065,3,0,3,6,0,0,6,+0.00
KOSDAQ,474930,신한제13호스팩,2085,3,0,0,0,0,0,0,+0.00
KOSDAQ,121850,코이즈,1474,3,0,182,159,194,178,-19,+0.01
KOSDAQ,276040,스코넥,327,3,0,13,36,3,8,28,+0.00
KOSDAQ,008290,원풍물산,338,3,0,1,1,2,1,0,+0.00
KOSDAQ,473000,에스케이증권제12호스팩,2050,3,0,30,63,0,0,63,+0.00
KOSDAQ,475240,하나32호스팩,2085,3,0,3,7,0,0,7,+0.00
