일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260130,-61400,5,-400,-0.65,3375524,51629,77235,+25606,--26666,833335,1242068,+408733,--438046,KRX
20260129,61800,3,0,0.00,3199995,34197,86469,+52272,+14553,553696,1400475,+846779,+239113,KRX
20260128,-61800,5,-400,-0.64,3496009,50343,88062,+37719,--10086,813641,1421307,+607666,--160801,KRX
20260127,+62200,2,+400,+0.65,4016704,29953,77758,+47805,--20742,480650,1249117,+768467,--346740,KRX
20260126,+61800,2,+800,+1.31,4143093,38826,107373,+68547,--31133,632585,1747792,+1115207,--536926,KRX
20260123,+61000,2,+2600,+4.45,7214439,49902,149582,+99680,+64014,828409,2480542,+1652133,+1041515,KRX
20260122,+58400,2,+1100,+1.92,2364798,27516,63182,+35666,+54042,475128,1085746,+610618,+931708,KRX
20260121,-57300,5,-1700,-2.88,2013702,45084,26708,--18376,--54659,786691,465601,--321090,--941292,KRX
20260120,+59000,2,+2400,+4.24,2772592,21344,57627,+36283,+54851,365336,985538,+620202,+947142,KRX
20260119,-56600,5,-700,-1.22,2189567,33045,14477,--18568,+22721,582299,255359,--326940,+391652,KRX
20260116,-57300,5,-1200,-2.05,2844292,58842,17553,--41289,--32037,1024199,305607,--718592,--560056,KRX
20260115,-58500,5,-300,-0.51,1963363,35073,25821,--9252,+6505,597781,439245,--158536,+110221,KRX
20260114,-58800,5,-500,-0.84,1586704,36153,20396,--15757,--23509,616191,347434,--268757,--399653,KRX
20260113,+59300,2,+1100,+1.89,1855912,23029,30781,+7752,+27455,392446,523342,+130896,+471044,KRX
20260112,58200,3,0,0.00,1915854,38730,19027,--19703,+14738,667452,327304,--340148,+253244,KRX
20260109,+58200,2,+400,+0.69,1851838,59844,25403,--34441,--8953,1030607,437215,--593392,--157863,KRX
20260108,-57800,5,-1500,-2.53,3659666,62872,37384,--25488,+141572,1079547,644018,--435529,+2352915,KRX
20260107,-59300,5,-4500,-7.05,6117494,201747,34687,--167060,--230761,3363749,575305,--2788444,--3788170,KRX
20260106,+63800,2,+1000,+1.59,2772246,25244,88945,+63701,+18894,397483,1397209,+999726,+285945,KRX
20260105,+62800,2,+700,+1.13,2289841,27572,72379,+44807,--20832,439441,1153222,+713781,--343491,KRX
20260102,+62100,2,+2000,+3.33,2903206,26321,91960,+65639,+66496,427177,1484449,+1057272,+1071612,KRX
20251230,-60100,5,-1100,-1.80,1472867,26169,25312,--857,--104375,433441,419101,--14340,--1727980,KRX
20251229,+61200,2,+3100,+5.34,3682579,21603,125121,+103518,+114051,363038,2076678,+1713640,+1892363,KRX
20251226,-58100,5,-1700,-2.84,1880555,33443,22910,--10533,--60328,569430,390707,--178723,--1016057,KRX
20251224,+59800,2,+800,+1.36,1948824,14002,63797,+49795,+23925,235829,1073163,+837334,+399409,KRX
20251223,+59000,2,+300,+0.51,1324562,12757,38627,+25870,+507,216319,654244,+437925,+7145,KRX
20251222,+58700,2,+500,+0.86,1454365,12761,38124,+25363,+8433,216855,647635,+430780,+139512,KRX
20251219,+58200,2,+1100,+1.93,1440858,21835,38765,+16930,+3899,375929,667197,+291268,+63140,KRX
20251218,+57100,2,+100,+0.18,1453355,14421,27452,+13031,+40799,253371,481499,+228128,+711955,KRX
20251217,-57000,5,-900,-1.55,1746055,41460,13692,--27768,+13343,722519,238692,--483827,+222003,KRX
20251216,-57900,5,-1700,-2.85,2297669,56775,15664,--41111,--57227,975951,270121,--705830,--973852,KRX
20251215,-59600,5,-200,-0.33,1648246,23843,39959,+16116,+6173,399386,667408,+268022,+101123,KRX
20251212,+59800,2,+600,+1.01,1252395,15194,25137,+9943,+25552,255843,422742,+166899,+431080,KRX
20251211,59200,3,0,0.00,2510659,59925,44316,--15609,+32897,1013627,749446,--264181,+550811,KRX
20251210,-59200,5,-1600,-2.63,2378957,65198,16692,--48506,--46155,1095215,280223,--814992,--776685,KRX
20251209,-60800,5,-1200,-1.94,1385209,27616,25265,--2351,--26963,452335,414028,--38307,--435310,KRX
20251208,+62000,2,+500,+0.81,2032027,22318,46930,+24612,--24685,361079,758082,+397003,--409760,KRX
20251205,+61500,2,+1300,+2.16,2164350,17428,66725,+49297,+54162,286073,1092836,+806763,+887870,KRX
20251204,-60200,5,-400,-0.66,1262524,21378,16513,--4865,--31422,356439,275332,--81107,--518338,KRX
20251203,+60600,2,+1100,+1.85,2256089,29434,55991,+26557,+27513,485158,922389,+437231,+453443,KRX
20251202,59500,3,0,0.00,1158789,20850,19894,--956,--5914,350888,334676,--16212,--99051,KRX
20251201,+59500,2,+800,+1.36,1811973,28569,33527,+4958,+30567,479271,562110,+82839,+517059,KRX
20251128,-58700,5,-1000,-1.68,1603848,44204,18595,--25609,--20342,749583,315363,--434220,--347319,KRX
20251127,-59700,5,-1300,-2.13,1632051,30772,25505,--5267,--75838,510444,423543,--86901,--1259079,KRX
20251126,+61000,2,+3000,+5.17,3312601,23301,93872,+70571,+70266,386296,1558474,+1172178,+1165876,KRX
20251125,-58000,5,-800,-1.36,1912277,33292,33597,+305,+2986,569130,575432,+6302,+52593,KRX
20251124,+58800,2,+100,+0.17,2217014,50017,47336,--2681,--8637,853093,806802,--46291,--149946,KRX
20251121,-58700,5,-400,-0.68,2528224,32774,38730,+5956,--1372,560837,664492,+103655,--19844,KRX
20251120,+59100,2,+900,+1.55,2269237,36173,43501,+7328,+9426,611344,734843,+123499,+157292,KRX
20251119,+58200,2,+700,+1.22,2946680,53276,51178,--2098,+54042,921026,887233,--33793,+920268,KRX
20251118,-57500,5,-3200,-5.27,5810827,106494,50354,--56140,--16918,1815798,861737,--954061,--312350,KRX
20251117,-60700,5,-700,-1.14,2541985,60752,21530,--39222,--2621,995152,353441,--641711,--51717,KRX
20251114,-61400,5,-2300,-3.61,3530001,64167,27566,--36601,--23331,1034710,444716,--589994,--376773,KRX
20251113,-63700,5,-100,-0.16,3253680,60583,47313,--13270,+21121,957364,744143,--213221,+323947,KRX
20251112,-63800,5,-300,-0.47,3227242,67518,33127,--34391,--201239,1056013,518845,--537168,--3088236,KRX
20251111,+64100,2,+1800,+2.89,12337247,126624,293472,+166848,+229770,1955927,4506995,+2551068,+3564702,KRX
20251110,-62300,5,-500,-0.80,7999819,151860,88938,--62922,--97352,2393156,1379522,--1013634,--1547282,KRX
20251107,+62800,2,+2100,+3.46,9719245,115436,149866,+34430,+72114,1842782,2376430,+533648,+1151371,KRX
20251106,-60700,5,-2000,-3.19,4335582,93584,55900,--37684,--22272,1528033,910310,--617723,--365960,KRX
20251105,-62700,5,-1500,-2.34,5643655,90042,74630,--15412,--26279,1448865,1197102,--251763,--420570,KRX
20251104,-64200,5,-300,-0.47,1815606,24182,35049,+10867,+47955,374382,543189,+168807,+740176,KRX
20251103,-64500,5,-600,-0.92,3029755,70561,33473,--37088,--47408,1087595,516226,--571369,--727809,KRX
20251031,+65100,2,+1600,+2.52,3412818,57564,67884,+10320,+92491,881386,1037826,+156440,+1422815,KRX
20251030,-63500,5,-4200,-6.20,5185767,125511,43340,--82171,--223769,1934677,668302,--1266375,--3365814,KRX
20251029,+67700,2,+4000,+6.28,11877149,110437,252035,+141598,+76264,1638889,3738328,+2099439,+1069575,KRX
20251028,+63700,2,+2800,+4.60,5224554,49011,114345,+65334,+48719,775233,1805097,+1029864,+756114,KRX
20251027,+60900,2,+1700,+2.87,2592815,32383,48998,+16615,+23664,533284,807034,+273750,+392771,KRX
20251024,+59200,2,+200,+0.34,1101507,18275,11226,--7049,+14887,308603,189582,--119021,+250292,KRX
20251023,-59000,5,-1900,-3.12,2234207,36026,14090,--21936,+15658,605912,236599,--369313,+246239,KRX
20251022,-60900,5,-1400,-2.25,2244634,60398,22804,--37594,--57973,990582,375030,--615552,--949127,KRX
20251021,+62300,2,+3500,+5.95,6975312,76558,96937,+20379,+7491,1247922,1581497,+333575,+113942,KRX
20251020,+58800,2,+800,+1.38,1646974,18597,31485,+12888,+15556,320554,540187,+219633,+266416,KRX
20251017,-58000,5,-600,-1.02,2052888,29941,27273,--2668,+7897,513346,466563,--46783,+132548,KRX
20251016,-58600,5,-600,-1.01,2296149,30440,19875,--10565,+5959,516986,337655,--179331,+98683,KRX
20251015,-59200,5,-400,-0.67,1659217,30534,14010,--16524,--2461,513120,235106,--278014,--42365,KRX
20251014,-59600,5,-200,-0.33,2138963,48548,34485,--14063,+57769,808542,572893,--235649,+961680,KRX
20251013,-59800,5,-2300,-3.70,2615559,92480,20648,--71832,--128418,1541592,344263,--1197329,--2119013,KRX
20251010,+62100,2,+2500,+4.19,2984964,43784,100370,+56586,+55704,712133,1633817,+921684,+908005,KRX
20251002,-59600,5,-400,-0.67,2321148,53928,54810,+882,--12973,899555,913234,+13679,--215868,KRX
20251001,+60000,2,+400,+0.67,1644566,28230,42085,+13855,+38119,469485,699032,+229547,+630346,KRX
20250930,-59600,5,-700,-1.16,2019879,53221,28957,--24264,--11179,882681,481882,--400799,--180094,KRX
20250929,+60300,2,+1000,+1.69,3131452,64840,51755,--13085,+59888,1081567,860862,--220705,+991833,KRX
20250926,-59300,5,-3900,-6.17,4899137,109921,36948,--72973,--60098,1828662,616124,--1212538,--1009013,KRX
20250925,+63200,2,+400,+0.64,2815412,56889,44014,--12875,+31891,900187,696662,--203525,+504796,KRX
20250924,-62800,5,-500,-0.79,2786106,71279,26513,--44766,+9540,1127248,418927,--708321,+145489,KRX
20250923,-63300,5,-3100,-4.67,4850268,102612,48306,--54306,--53629,1604976,751166,--853810,--843931,KRX
20250922,-66400,5,-600,-0.90,2276896,37389,36712,--677,--47287,562749,552870,--9879,--707533,KRX
20250919,+67000,2,+2300,+3.55,5009911,76150,122760,+46610,+30022,1135084,1832738,+697654,+441752,KRX
20250918,+64700,2,+2200,+3.52,2541491,35985,52573,+16588,+24533,559091,814993,+255902,+382455,KRX
20250917,-62500,5,-400,-0.64,992359,22859,14914,--7945,+33042,364320,237767,--126553,+522739,KRX
20250916,-62900,5,-1100,-1.72,2130735,56095,15108,--40987,+5914,889177,239885,--649292,+82579,KRX
20250915,-64000,5,-1500,-2.29,2370450,66865,19964,--46901,--182448,1043336,311465,--731871,--2844740,KRX
20250912,+65500,2,+5600,+9.35,6828797,48078,183625,+135547,+138505,750207,2863076,+2112869,+2162777,KRX
20250911,59900,3,0,0.00,1793242,53315,50357,--2958,+7832,888993,839085,--49908,+130720,KRX
20250910,+59900,2,+300,+0.50,1665136,40826,30036,--10790,--7634,680125,499497,--180628,--126854,KRX
20250909,+59600,2,+400,+0.68,1361280,32434,29278,--3156,--21453,546727,492953,--53774,--360404,KRX
20250908,+59200,2,+700,+1.20,1665995,26910,45207,+18297,+36424,452752,759382,+306630,+612397,KRX
20250905,58500,3,0,0.00,1536092,34961,16834,--18127,--20089,591622,285855,--305767,--341352,KRX
